iter,firmware,backend,wall_s
1,stm32_uart_it,halucinator,1.6114
1,stm32_uart_it,fastdyn-py,1.8633
2,stm32_uart_it,halucinator,1.6779
2,stm32_uart_it,fastdyn-py,1.6985
3,stm32_uart_it,halucinator,1.5357
3,stm32_uart_it,fastdyn-py,1.6835
4,stm32_uart_it,halucinator,1.5345
4,stm32_uart_it,fastdyn-py,1.6629
5,stm32_uart_it,halucinator,1.5235
5,stm32_uart_it,fastdyn-py,1.7066
6,stm32_uart_it,halucinator,1.511
6,stm32_uart_it,fastdyn-py,1.6724
7,stm32_uart_it,halucinator,1.5278
7,stm32_uart_it,fastdyn-py,1.6652
8,stm32_uart_it,halucinator,1.5287
8,stm32_uart_it,fastdyn-py,1.6682
9,stm32_uart_it,halucinator,1.5226
9,stm32_uart_it,fastdyn-py,1.723
10,stm32_uart_it,halucinator,1.5214
10,stm32_uart_it,fastdyn-py,1.683
