iter,firmware,backend,wall_s
1,zephyr_fs,halucinator,121.9445
1,zephyr_fs,fastdyn-py,3.1494
2,zephyr_fs,halucinator,122.1158
2,zephyr_fs,fastdyn-py,3.1914
3,zephyr_fs,halucinator,122.126
3,zephyr_fs,fastdyn-py,3.1657
4,zephyr_fs,halucinator,122.1987
4,zephyr_fs,fastdyn-py,3.1566
5,zephyr_fs,halucinator,122.3019
5,zephyr_fs,fastdyn-py,3.1929
6,zephyr_fs,halucinator,122.093
6,zephyr_fs,fastdyn-py,3.1683
7,zephyr_fs,halucinator,122.1842
7,zephyr_fs,fastdyn-py,3.1847
8,zephyr_fs,halucinator,122.1526
8,zephyr_fs,fastdyn-py,3.1972
9,zephyr_fs,halucinator,122.0223
9,zephyr_fs,fastdyn-py,3.1909
10,zephyr_fs,halucinator,122.1079
10,zephyr_fs,fastdyn-py,3.2326
