iter,firmware,backend,wall_s
1,zephyr_h103,halucinator,10.5092
1,zephyr_h103,fastdyn-py,1.5355
2,zephyr_h103,halucinator,10.4675
2,zephyr_h103,fastdyn-py,NaN
3,zephyr_h103,halucinator,10.4804
3,zephyr_h103,fastdyn-py,1.5376
4,zephyr_h103,halucinator,10.4768
4,zephyr_h103,fastdyn-py,1.5401
5,zephyr_h103,halucinator,10.4694
5,zephyr_h103,fastdyn-py,1.5465
6,zephyr_h103,halucinator,10.4784
6,zephyr_h103,fastdyn-py,1.5463
7,zephyr_h103,halucinator,10.4726
7,zephyr_h103,fastdyn-py,1.5408
8,zephyr_h103,halucinator,10.4606
8,zephyr_h103,fastdyn-py,1.5227
9,zephyr_h103,halucinator,10.4895
9,zephyr_h103,fastdyn-py,1.5374
10,zephyr_h103,halucinator,10.4696
10,zephyr_h103,fastdyn-py,1.5139
