iter,firmware,backend,wall_s
1,zephyr_k64f,halucinator,10.6597
1,zephyr_k64f,fastdyn-py,2.2334
2,zephyr_k64f,halucinator,10.6336
2,zephyr_k64f,fastdyn-py,2.1766
3,zephyr_k64f,halucinator,10.6264
3,zephyr_k64f,fastdyn-py,2.1572
4,zephyr_k64f,halucinator,10.6396
4,zephyr_k64f,fastdyn-py,2.1741
5,zephyr_k64f,halucinator,10.6127
5,zephyr_k64f,fastdyn-py,2.1928
6,zephyr_k64f,halucinator,10.5984
6,zephyr_k64f,fastdyn-py,2.2151
7,zephyr_k64f,halucinator,10.6877
7,zephyr_k64f,fastdyn-py,2.1712
8,zephyr_k64f,halucinator,10.5978
8,zephyr_k64f,fastdyn-py,2.1696
9,zephyr_k64f,halucinator,10.6167
9,zephyr_k64f,fastdyn-py,2.157
10,zephyr_k64f,halucinator,10.6238
10,zephyr_k64f,fastdyn-py,2.1666
