tool,direction,iters,total_s,per_op_ms
avatar2,reads,1000,10.071400,10.071000
avatar2,reads,1000,10.070000,10.070000
avatar2,reads,1000,10.069700,10.070000
avatar2,reads,1000,10.070700,10.071000
avatar2,reads,1000,10.070500,10.070000
avatar2,reads,1000,10.070200,10.070000
avatar2,reads,1000,10.070400,10.070000
avatar2,reads,1000,10.070400,10.070000
avatar2,reads,1000,10.070800,10.071000
avatar2,reads,1000,10.071000,10.071000
avatar2,reads,1000,10.079900,10.080000
avatar2,reads,1000,10.071800,10.072000
avatar2,reads,1000,10.080200,10.080000
avatar2,reads,1000,10.071300,10.071000
avatar2,reads,1000,10.071100,10.071000
avatar2,reads,1000,10.080800,10.081000
avatar2,reads,1000,10.071500,10.072000
avatar2,reads,1000,10.082100,10.082000
avatar2,reads,1000,10.071000,10.071000
avatar2,reads,1000,10.071100,10.071000
avatar2,reads,1000,10.071500,10.072000
avatar2,reads,1000,10.081300,10.081000
avatar2,reads,1000,10.082100,10.082000
avatar2,reads,1000,10.070700,10.071000
avatar2,reads,1000,10.072300,10.072000
avatar2,reads,1000,10.072600,10.073000
avatar2,reads,1000,10.081200,10.081000
avatar2,reads,1000,10.071200,10.071000
avatar2,reads,1000,10.070000,10.070000
avatar2,reads,1000,10.080400,10.080000
avatar2,reads,1000,10.071800,10.072000
avatar2,reads,1000,10.081400,10.081000
avatar2,reads,1000,10.080700,10.081000
avatar2,reads,1000,10.078800,10.079000
avatar2,reads,1000,10.077600,10.078000
avatar2,reads,1000,10.072000,10.072000
avatar2,reads,1000,10.081600,10.082000
avatar2,reads,1000,10.079300,10.079000
avatar2,reads,1000,10.081200,10.081000
avatar2,reads,1000,10.072100,10.072000
avatar2,reads,1000,10.070900,10.071000
avatar2,reads,1000,10.080600,10.081000
avatar2,reads,1000,10.072000,10.072000
avatar2,reads,1000,10.074500,10.075000
avatar2,reads,1000,10.075000,10.075000
avatar2,reads,1000,10.082500,10.082000
avatar2,reads,1000,10.072700,10.073000
avatar2,reads,1000,10.081000,10.081000
avatar2,reads,1000,10.067700,10.068000
avatar2,reads,1000,10.081000,10.081000
avatar2,reads,1000,10.083000,10.083000
avatar2,reads,1000,10.083100,10.083000
avatar2,reads,1000,10.081300,10.081000
avatar2,reads,1000,10.081200,10.081000
avatar2,reads,1000,10.081300,10.081000
avatar2,reads,1000,10.075300,10.075000
avatar2,reads,1000,10.075100,10.075000
avatar2,reads,1000,10.081700,10.082000
avatar2,reads,1000,10.082000,10.082000
avatar2,reads,1000,10.073900,10.074000
avatar2,reads,1000,10.075300,10.075000
avatar2,reads,1000,10.074200,10.074000
avatar2,reads,1000,10.065800,10.066000
avatar2,reads,1000,10.076600,10.077000
avatar2,reads,1000,10.075300,10.075000
avatar2,reads,1000,10.075700,10.076000
avatar2,reads,1000,10.075900,10.076000
avatar2,reads,1000,10.064900,10.065000
avatar2,reads,1000,10.066100,10.066000
avatar2,reads,1000,10.075700,10.076000
avatar2,reads,1000,10.076500,10.077000
avatar2,reads,1000,10.077000,10.077000
avatar2,reads,1000,10.076000,10.076000
avatar2,reads,1000,10.077100,10.077000
avatar2,reads,1000,10.078300,10.078000
avatar2,reads,1000,10.078000,10.078000
avatar2,reads,1000,10.075600,10.076000
avatar2,reads,1000,10.067600,10.068000
avatar2,reads,1000,10.076100,10.076000
avatar2,reads,1000,10.075600,10.076000
avatar2,reads,1000,10.076300,10.076000
avatar2,reads,1000,10.075800,10.076000
avatar2,reads,1000,10.075700,10.076000
avatar2,reads,1000,10.075500,10.076000
avatar2,reads,1000,10.076900,10.077000
avatar2,reads,1000,10.065700,10.066000
avatar2,reads,1000,10.076100,10.076000
avatar2,reads,1000,10.076900,10.077000
avatar2,reads,1000,10.066700,10.067000
avatar2,reads,1000,10.081800,10.082000
avatar2,reads,1000,10.076300,10.076000
avatar2,reads,1000,10.077900,10.078000
avatar2,reads,1000,10.077600,10.078000
avatar2,reads,1000,10.070600,10.071000
avatar2,reads,1000,10.078500,10.079000
avatar2,reads,1000,10.089000,10.089000
avatar2,reads,1000,10.079100,10.079000
avatar2,reads,1000,10.091400,10.091000
avatar2,reads,1000,10.068400,10.068000
avatar2,reads,1000,10.071900,10.072000
