tool,direction,iters,total_s,per_op_ms
avatar2,writes,1000,10.079300,10.079000
avatar2,writes,1000,10.073600,10.074000
avatar2,writes,1000,10.075500,10.075000
avatar2,writes,1000,10.077700,10.078000
avatar2,writes,1000,10.078500,10.078000
avatar2,writes,1000,10.073900,10.074000
avatar2,writes,1000,10.077500,10.078000
avatar2,writes,1000,10.078100,10.078000
avatar2,writes,1000,10.078700,10.079000
avatar2,writes,1000,10.076400,10.076000
avatar2,writes,1000,10.077800,10.078000
avatar2,writes,1000,10.076200,10.076000
avatar2,writes,1000,10.079900,10.080000
avatar2,writes,1000,10.077900,10.078000
avatar2,writes,1000,10.074300,10.074000
avatar2,writes,1000,10.074800,10.075000
avatar2,writes,1000,10.076500,10.076000
avatar2,writes,1000,10.079000,10.079000
avatar2,writes,1000,10.078700,10.079000
avatar2,writes,1000,10.078300,10.078000
avatar2,writes,1000,10.077700,10.078000
avatar2,writes,1000,10.078000,10.078000
avatar2,writes,1000,10.077200,10.077000
avatar2,writes,1000,10.078000,10.078000
avatar2,writes,1000,10.078500,10.079000
avatar2,writes,1000,10.081600,10.082000
avatar2,writes,1000,10.079800,10.080000
avatar2,writes,1000,10.075800,10.076000
avatar2,writes,1000,10.078800,10.079000
avatar2,writes,1000,10.077800,10.078000
avatar2,writes,1000,10.082400,10.082000
avatar2,writes,1000,10.079800,10.080000
avatar2,writes,1000,10.079900,10.080000
avatar2,writes,1000,10.079400,10.079000
avatar2,writes,1000,10.078900,10.079000
avatar2,writes,1000,10.078600,10.079000
avatar2,writes,1000,10.079100,10.079000
avatar2,writes,1000,10.079100,10.079000
avatar2,writes,1000,10.078200,10.078000
avatar2,writes,1000,10.078500,10.079000
avatar2,writes,1000,10.079100,10.079000
avatar2,writes,1000,10.079400,10.079000
avatar2,writes,1000,10.079800,10.080000
avatar2,writes,1000,10.079700,10.080000
avatar2,writes,1000,10.081800,10.082000
avatar2,writes,1000,10.080500,10.081000
avatar2,writes,1000,10.074000,10.074000
avatar2,writes,1000,10.080500,10.081000
avatar2,writes,1000,10.073100,10.073000
avatar2,writes,1000,10.080800,10.081000
avatar2,writes,1000,10.077900,10.078000
avatar2,writes,1000,10.075200,10.075000
avatar2,writes,1000,10.081200,10.081000
avatar2,writes,1000,10.080600,10.081000
avatar2,writes,1000,10.080000,10.080000
avatar2,writes,1000,10.073900,10.074000
avatar2,writes,1000,10.075800,10.076000
avatar2,writes,1000,10.079800,10.080000
avatar2,writes,1000,10.080400,10.080000
avatar2,writes,1000,10.075100,10.075000
avatar2,writes,1000,10.074800,10.075000
avatar2,writes,1000,10.076000,10.076000
avatar2,writes,1000,10.075900,10.076000
avatar2,writes,1000,10.077500,10.078000
avatar2,writes,1000,10.076100,10.076000
avatar2,writes,1000,10.076300,10.076000
avatar2,writes,1000,10.075700,10.076000
avatar2,writes,1000,10.074900,10.075000
avatar2,writes,1000,10.075900,10.076000
avatar2,writes,1000,10.074700,10.075000
avatar2,writes,1000,10.079500,10.080000
avatar2,writes,1000,10.075600,10.076000
avatar2,writes,1000,10.075700,10.076000
avatar2,writes,1000,10.078300,10.078000
avatar2,writes,1000,10.075500,10.076000
avatar2,writes,1000,10.066700,10.067000
avatar2,writes,1000,10.066700,10.067000
avatar2,writes,1000,10.074300,10.074000
avatar2,writes,1000,10.075400,10.075000
avatar2,writes,1000,10.080000,10.080000
avatar2,writes,1000,10.090000,10.090000
avatar2,writes,1000,10.107500,10.108000
avatar2,writes,1000,10.097400,10.097000
avatar2,writes,1000,10.098400,10.098000
avatar2,writes,1000,10.076800,10.077000
avatar2,writes,1000,10.077200,10.077000
avatar2,writes,1000,10.077500,10.077000
avatar2,writes,1000,10.075700,10.076000
avatar2,writes,1000,10.086900,10.087000
avatar2,writes,1000,10.075200,10.075000
avatar2,writes,1000,10.076900,10.077000
avatar2,writes,1000,10.066100,10.066000
avatar2,writes,1000,10.065800,10.066000
avatar2,writes,1000,10.076900,10.077000
avatar2,writes,1000,10.075900,10.076000
avatar2,writes,1000,10.076700,10.077000
avatar2,writes,1000,10.066600,10.067000
avatar2,writes,1000,10.076200,10.076000
avatar2,writes,1000,10.068000,10.068000
avatar2,writes,1000,10.066400,10.066000
