tool,direction,iters,total_s,per_op_ms
fastdyn-passthrough,writes,1000,0.507583,0.507583
fastdyn-passthrough,writes,1000,0.506273,0.506273
fastdyn-passthrough,writes,1000,0.506007,0.506007
fastdyn-passthrough,writes,1000,0.507688,0.507688
fastdyn-passthrough,writes,1000,0.506210,0.506210
fastdyn-passthrough,writes,1000,0.506331,0.506331
fastdyn-passthrough,writes,1000,0.507169,0.507169
fastdyn-passthrough,writes,1000,0.506440,0.506440
fastdyn-passthrough,writes,1000,0.506245,0.506245
fastdyn-passthrough,writes,1000,0.507860,0.507860
fastdyn-passthrough,writes,1000,0.506524,0.506524
fastdyn-passthrough,writes,1000,0.506155,0.506155
fastdyn-passthrough,writes,1000,0.506313,0.506313
fastdyn-passthrough,writes,1000,0.506737,0.506737
fastdyn-passthrough,writes,1000,0.506360,0.506360
fastdyn-passthrough,writes,1000,0.506458,0.506458
fastdyn-passthrough,writes,1000,0.507030,0.507030
fastdyn-passthrough,writes,1000,0.506126,0.506126
fastdyn-passthrough,writes,1000,0.506170,0.506170
fastdyn-passthrough,writes,1000,0.506452,0.506452
fastdyn-passthrough,writes,1000,0.506198,0.506198
fastdyn-passthrough,writes,1000,0.506227,0.506227
fastdyn-passthrough,writes,1000,0.506387,0.506387
fastdyn-passthrough,writes,1000,0.506106,0.506106
fastdyn-passthrough,writes,1000,0.506672,0.506672
fastdyn-passthrough,writes,1000,0.505987,0.505987
fastdyn-passthrough,writes,1000,0.505961,0.505961
fastdyn-passthrough,writes,1000,0.506257,0.506257
fastdyn-passthrough,writes,1000,0.506275,0.506275
fastdyn-passthrough,writes,1000,0.507804,0.507804
fastdyn-passthrough,writes,1000,0.506928,0.506928
fastdyn-passthrough,writes,1000,0.506335,0.506335
fastdyn-passthrough,writes,1000,0.506166,0.506166
fastdyn-passthrough,writes,1000,0.507399,0.507399
fastdyn-passthrough,writes,1000,0.506375,0.506375
fastdyn-passthrough,writes,1000,0.506126,0.506126
fastdyn-passthrough,writes,1000,0.506143,0.506143
fastdyn-passthrough,writes,1000,0.506513,0.506513
fastdyn-passthrough,writes,1000,0.506469,0.506469
fastdyn-passthrough,writes,1000,0.506462,0.506462
fastdyn-passthrough,writes,1000,0.506786,0.506786
fastdyn-passthrough,writes,1000,0.506191,0.506191
fastdyn-passthrough,writes,1000,0.507482,0.507482
fastdyn-passthrough,writes,1000,0.506781,0.506781
fastdyn-passthrough,writes,1000,0.506254,0.506254
fastdyn-passthrough,writes,1000,0.506352,0.506352
fastdyn-passthrough,writes,1000,0.506122,0.506122
fastdyn-passthrough,writes,1000,0.508463,0.508463
fastdyn-passthrough,writes,1000,0.506371,0.506371
fastdyn-passthrough,writes,1000,0.506156,0.506156
fastdyn-passthrough,writes,1000,0.506213,0.506213
fastdyn-passthrough,writes,1000,0.507035,0.507035
fastdyn-passthrough,writes,1000,0.506219,0.506219
fastdyn-passthrough,writes,1000,0.506092,0.506092
fastdyn-passthrough,writes,1000,0.506282,0.506282
fastdyn-passthrough,writes,1000,0.506055,0.506055
fastdyn-passthrough,writes,1000,0.506931,0.506931
fastdyn-passthrough,writes,1000,0.506656,0.506656
fastdyn-passthrough,writes,1000,0.506425,0.506425
fastdyn-passthrough,writes,1000,0.506943,0.506943
fastdyn-passthrough,writes,1000,0.506587,0.506587
fastdyn-passthrough,writes,1000,0.506321,0.506321
fastdyn-passthrough,writes,1000,0.506292,0.506292
fastdyn-passthrough,writes,1000,0.506009,0.506009
fastdyn-passthrough,writes,1000,0.506172,0.506172
fastdyn-passthrough,writes,1000,0.506743,0.506743
fastdyn-passthrough,writes,1000,0.506290,0.506290
fastdyn-passthrough,writes,1000,0.506149,0.506149
fastdyn-passthrough,writes,1000,0.506189,0.506189
fastdyn-passthrough,writes,1000,0.506400,0.506400
fastdyn-passthrough,writes,1000,0.506376,0.506376
fastdyn-passthrough,writes,1000,0.506435,0.506435
fastdyn-passthrough,writes,1000,0.506313,0.506313
fastdyn-passthrough,writes,1000,0.505981,0.505981
fastdyn-passthrough,writes,1000,0.506213,0.506213
fastdyn-passthrough,writes,1000,0.506356,0.506356
fastdyn-passthrough,writes,1000,0.506728,0.506728
fastdyn-passthrough,writes,1000,0.506990,0.506990
fastdyn-passthrough,writes,1000,0.507077,0.507077
fastdyn-passthrough,writes,1000,0.506172,0.506172
fastdyn-passthrough,writes,1000,0.506873,0.506873
fastdyn-passthrough,writes,1000,0.507910,0.507910
fastdyn-passthrough,writes,1000,0.506155,0.506155
fastdyn-passthrough,writes,1000,0.507319,0.507319
fastdyn-passthrough,writes,1000,0.505991,0.505991
fastdyn-passthrough,writes,1000,0.506312,0.506312
fastdyn-passthrough,writes,1000,0.507454,0.507454
fastdyn-passthrough,writes,1000,0.506525,0.506525
fastdyn-passthrough,writes,1000,0.506427,0.506427
fastdyn-passthrough,writes,1000,0.506163,0.506163
fastdyn-passthrough,writes,1000,0.507308,0.507308
fastdyn-passthrough,writes,1000,0.506073,0.506073
fastdyn-passthrough,writes,1000,0.506786,0.506786
fastdyn-passthrough,writes,1000,0.506792,0.506792
fastdyn-passthrough,writes,1000,0.506538,0.506538
fastdyn-passthrough,writes,1000,0.506509,0.506509
fastdyn-passthrough,writes,1000,0.506781,0.506781
fastdyn-passthrough,writes,1000,0.507232,0.507232
fastdyn-passthrough,writes,1000,0.506276,0.506276
fastdyn-passthrough,writes,1000,0.506187,0.506187
