[    1.802278] IO Read Access NOT Handled: 	 address=0xe000ed88, size=4 bytes, pc=0x0800091e
[    1.802882] IO Write Access NOT Handled: 	 address = 0xE000ED88, size = 4 bytes, value = 0x00f00000, pc=0x08000928 
[    1.811144] IO Read Access NOT Handled: 	 address=0xe000ed0c, size=4 bytes, pc=0x08000aa2
[    1.812153] IO Write Access NOT Handled: 	 address = 0xE000ED0C, size = 4 bytes, value = 0x05fa0300, pc=0x08000AC2 
[    1.832842] IO Write Access NOT Handled: 	 address = 0xE000E014, size = 4 bytes, value = 0x00003e7f, pc=0x08000BCC 
[    1.832925] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000004, size = 4 bytes, value = 0x00003e7f, pc=0x08000BCC 
[    1.834536] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0xf0, pc=0x08000B32 
[    1.835507] IO Write Access NOT Handled: 	 address = 0xE000E018, size = 4 bytes, value = 0x00000000, pc=0x08000BDC 
[    1.835548] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000008, size = 4 bytes, value = 0x00000000, pc=0x08000BDC 
[    1.836127] IO Write Access NOT Handled: 	 address = 0xE000E010, size = 4 bytes, value = 0x00000007, pc=0x08000BE2 
[    1.836189] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000000, size = 4 bytes, value = 0x00000007, pc=0x08000BE2 
[    1.836506] Interrupt Taken: 	 Vector = 0x0000000F
[    1.837684] Interrupt Served: 	 Vector = 0x0000000F
[    1.839529] Interrupt Taken: 	 Vector = 0x0000000F
[    1.839587] Interrupt Served: 	 Vector = 0x0000000F
[    1.841763] Interrupt Taken: 	 Vector = 0x0000000F
[    1.841823] Interrupt Served: 	 Vector = 0x0000000F
[    1.843902] Interrupt Taken: 	 Vector = 0x0000000F
[    1.843953] Interrupt Served: 	 Vector = 0x0000000F
[    1.845919] Interrupt Taken: 	 Vector = 0x0000000F
[    1.845963] Interrupt Served: 	 Vector = 0x0000000F
[    1.848072] Interrupt Taken: 	 Vector = 0x0000000F
[    1.848180] Interrupt Served: 	 Vector = 0x0000000F
[    1.849760] Interrupt Taken: 	 Vector = 0x0000000F
[    1.849821] Interrupt Served: 	 Vector = 0x0000000F
[    1.852380] Interrupt Taken: 	 Vector = 0x0000000F
[    1.852493] Interrupt Served: 	 Vector = 0x0000000F
[    1.854186] Interrupt Taken: 	 Vector = 0x0000000F
[    1.854258] Interrupt Served: 	 Vector = 0x0000000F
[    1.856822] Interrupt Taken: 	 Vector = 0x0000000F
[    1.856945] Interrupt Served: 	 Vector = 0x0000000F
[    1.858441] Interrupt Taken: 	 Vector = 0x0000000F
[    1.858503] Interrupt Served: 	 Vector = 0x0000000F
[    1.860738] IO Read Access NOT Handled: 	 address=0xe000ed0c, size=4 bytes, pc=0x08000ade
[    1.861283] Interrupt Taken: 	 Vector = 0x0000000F
[    1.861535] Interrupt Served: 	 Vector = 0x0000000F
[    1.863174] Interrupt Taken: 	 Vector = 0x0000000F
[    1.863272] Interrupt Served: 	 Vector = 0x0000000F
[    1.865582] Interrupt Taken: 	 Vector = 0x0000000F
[    1.865693] Interrupt Served: 	 Vector = 0x0000000F
[    1.867161] Interrupt Taken: 	 Vector = 0x0000000F
[    1.867210] Interrupt Served: 	 Vector = 0x0000000F
[    1.869810] Interrupt Taken: 	 Vector = 0x0000000F
[    1.869890] Interrupt Served: 	 Vector = 0x0000000F
[    1.871492] Interrupt Taken: 	 Vector = 0x0000000F
[    1.871557] Interrupt Served: 	 Vector = 0x0000000F
[    1.873608] Interrupt Taken: 	 Vector = 0x0000000F
[    1.873721] Interrupt Served: 	 Vector = 0x0000000F
[    1.875185] Interrupt Taken: 	 Vector = 0x0000000F
[    1.875248] Interrupt Served: 	 Vector = 0x0000000F
[    1.878634] Interrupt Taken: 	 Vector = 0x0000000F
[    1.878749] Interrupt Served: 	 Vector = 0x0000000F
[    1.881078] Interrupt Taken: 	 Vector = 0x0000000F
[    1.881251] Interrupt Served: 	 Vector = 0x0000000F
[    1.882822] Interrupt Taken: 	 Vector = 0x0000000F
[    1.882946] Interrupt Served: 	 Vector = 0x0000000F
[    1.884892] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0x00, pc=0x08000B32 
[    1.886245] Interrupt Taken: 	 Vector = 0x0000000F
[    1.886318] Interrupt Served: 	 Vector = 0x0000000F
[    1.888814] Interrupt Taken: 	 Vector = 0x0000000F
[    1.888886] Interrupt Served: 	 Vector = 0x0000000F
[    1.891005] Interrupt Taken: 	 Vector = 0x0000000F
[    1.891062] Interrupt Served: 	 Vector = 0x0000000F
[    1.894553] Interrupt Taken: 	 Vector = 0x0000000F
[    1.894787] Interrupt Served: 	 Vector = 0x0000000F
[    1.897041] Interrupt Taken: 	 Vector = 0x0000000F
[    1.897189] Interrupt Served: 	 Vector = 0x0000000F
[    1.899431] [passthrough] Read: 	 address = 0x40023840, size = 4 bytes, value = 0x00000000, pc=0x08000878 
[    1.899858] Interrupt Taken: 	 Vector = 0x0000000F
[    1.899924] Interrupt Served: 	 Vector = 0x0000000F
[    1.903273] Interrupt Taken: 	 Vector = 0x0000000F
[    1.903337] Interrupt Served: 	 Vector = 0x0000000F
[    1.905357] [passthrough] Write: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x08000880 
