[    1.872992] IO Read Access NOT Handled: 	 address=0xe000ed88, size=4 bytes, pc=0x08000a5a
[    1.873189] IO Write Access NOT Handled: 	 address = 0xE000ED88, size = 4 bytes, value = 0x00f00000, pc=0x08000A64 
[    1.875889] IO Read Access NOT Handled: 	 address=0xe000ed0c, size=4 bytes, pc=0x08000b96
[    1.876255] IO Write Access NOT Handled: 	 address = 0xE000ED0C, size = 4 bytes, value = 0x05fa0300, pc=0x08000BB6 
[    1.877060] IO Write Access NOT Handled: 	 address = 0xE000E014, size = 4 bytes, value = 0x00003e7f, pc=0x08000CC0 
[    1.877075] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000004, size = 4 bytes, value = 0x00003e7f, pc=0x08000CC0 
[    1.877413] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0xf0, pc=0x08000C26 
[    1.877679] IO Write Access NOT Handled: 	 address = 0xE000E018, size = 4 bytes, value = 0x00000000, pc=0x08000CD0 
[    1.877689] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000008, size = 4 bytes, value = 0x00000000, pc=0x08000CD0 
[    1.877823] IO Write Access NOT Handled: 	 address = 0xE000E010, size = 4 bytes, value = 0x00000007, pc=0x08000CD6 
[    1.877831] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000000, size = 4 bytes, value = 0x00000007, pc=0x08000CD6 
[    1.877982] Interrupt Taken: 	 Vector = 0x0000000F
[    1.878225] Interrupt Served: 	 Vector = 0x0000000F
[    1.879569] Interrupt Taken: 	 Vector = 0x0000000F
[    1.879584] Interrupt Served: 	 Vector = 0x0000000F
[    1.881013] Interrupt Taken: 	 Vector = 0x0000000F
[    1.881022] Interrupt Served: 	 Vector = 0x0000000F
[    1.882419] Interrupt Taken: 	 Vector = 0x0000000F
[    1.882430] Interrupt Served: 	 Vector = 0x0000000F
[    1.883965] Interrupt Taken: 	 Vector = 0x0000000F
[    1.883987] Interrupt Served: 	 Vector = 0x0000000F
[    1.885461] Interrupt Taken: 	 Vector = 0x0000000F
[    1.885484] Interrupt Served: 	 Vector = 0x0000000F
[    1.886781] Interrupt Taken: 	 Vector = 0x0000000F
[    1.886836] Interrupt Served: 	 Vector = 0x0000000F
[    1.888688] Interrupt Taken: 	 Vector = 0x0000000F
[    1.888702] Interrupt Served: 	 Vector = 0x0000000F
[    1.890314] IO Read Access NOT Handled: 	 address=0xe000ed0c, size=4 bytes, pc=0x08000bd2
[    1.890330] Interrupt Taken: 	 Vector = 0x0000000F
[    1.890365] Interrupt Served: 	 Vector = 0x0000000F
[    1.891803] Interrupt Taken: 	 Vector = 0x0000000F
[    1.891867] Interrupt Served: 	 Vector = 0x0000000F
[    1.893210] Interrupt Taken: 	 Vector = 0x0000000F
[    1.893261] Interrupt Served: 	 Vector = 0x0000000F
[    1.894881] Interrupt Taken: 	 Vector = 0x0000000F
[    1.894918] Interrupt Served: 	 Vector = 0x0000000F
[    1.896221] Interrupt Taken: 	 Vector = 0x0000000F
[    1.896243] Interrupt Served: 	 Vector = 0x0000000F
[    1.897709] Interrupt Taken: 	 Vector = 0x0000000F
[    1.897720] Interrupt Served: 	 Vector = 0x0000000F
[    1.899407] Interrupt Taken: 	 Vector = 0x0000000F
[    1.899417] Interrupt Served: 	 Vector = 0x0000000F
[    1.900830] Interrupt Taken: 	 Vector = 0x0000000F
[    1.900844] Interrupt Served: 	 Vector = 0x0000000F
[    1.902494] Interrupt Taken: 	 Vector = 0x0000000F
[    1.902507] Interrupt Served: 	 Vector = 0x0000000F
[    1.903942] Interrupt Taken: 	 Vector = 0x0000000F
[    1.903960] Interrupt Served: 	 Vector = 0x0000000F
[    1.905358] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0x00, pc=0x08000C26 
[    1.905536] Interrupt Taken: 	 Vector = 0x0000000F
[    1.905551] Interrupt Served: 	 Vector = 0x0000000F
[    1.907002] Interrupt Taken: 	 Vector = 0x0000000F
[    1.907022] Interrupt Served: 	 Vector = 0x0000000F
[    1.908587] Interrupt Taken: 	 Vector = 0x0000000F
[    1.908603] Interrupt Served: 	 Vector = 0x0000000F
[    1.910018] Interrupt Taken: 	 Vector = 0x0000000F
[    1.910042] Interrupt Served: 	 Vector = 0x0000000F
[    1.911977] Interrupt Taken: 	 Vector = 0x0000000F
[    1.912001] Interrupt Served: 	 Vector = 0x0000000F
[    1.913393] Interrupt Taken: 	 Vector = 0x0000000F
[    1.913419] Interrupt Served: 	 Vector = 0x0000000F
[    1.915258] [passthrough] Read: 	 address = 0x40023840, size = 4 bytes, value = 0x00000000, pc=0x080008F4 
[    1.915549] Interrupt Taken: 	 Vector = 0x0000000F
[    1.915564] Interrupt Served: 	 Vector = 0x0000000F
[    1.917422] Interrupt Taken: 	 Vector = 0x0000000F
[    1.917440] Interrupt Served: 	 Vector = 0x0000000F
[    1.918907] [passthrough] Write: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x080008FC 
[    1.919305] Interrupt Taken: 	 Vector = 0x0000000F
[    1.919315] Interrupt Served: 	 Vector = 0x0000000F
[    1.921119] Interrupt Taken: 	 Vector = 0x0000000F
[    1.921146] Interrupt Served: 	 Vector = 0x0000000F
[    1.922595] [passthrough] Read: 	 address = 0x40023840, size = 4 bytes, value = 0x10000000, pc=0x08000900 
[    1.922870] Interrupt Taken: 	 Vector = 0x0000000F
[    1.922886] Interrupt Served: 	 Vector = 0x0000000F
[    1.924636] Interrupt Taken: 	 Vector = 0x0000000F
[    1.924674] Interrupt Served: 	 Vector = 0x0000000F
[    1.926277] [passthrough] Read: 	 address = 0x40023844, size = 4 bytes, value = 0x00000000, pc=0x0800090C 
[    1.926548] Interrupt Taken: 	 Vector = 0x0000000F
[    1.926585] Interrupt Served: 	 Vector = 0x0000000F
[    1.927876] Interrupt Taken: 	 Vector = 0x0000000F
[    1.927989] Interrupt Served: 	 Vector = 0x0000000F
[    1.929588] Interrupt Taken: 	 Vector = 0x0000000F
[    1.929633] Interrupt Served: 	 Vector = 0x0000000F
[    1.931580] Interrupt Taken: 	 Vector = 0x0000000F
[    1.931601] Interrupt Served: 	 Vector = 0x0000000F
[    1.933099] [passthrough] Write: 	 address = 0x40023844, size = 4 bytes, value = 0x00004000, pc=0x08000914 
[    1.933560] Interrupt Taken: 	 Vector = 0x0000000F
[    1.933570] Interrupt Served: 	 Vector = 0x0000000F
[    1.935062] Interrupt Taken: 	 Vector = 0x0000000F
[    1.935076] Interrupt Served: 	 Vector = 0x0000000F
[    1.936526] [passthrough] Read: 	 address = 0x40023844, size = 4 bytes, value = 0x00004000, pc=0x08000918 
[    1.936813] Interrupt Taken: 	 Vector = 0x0000000F
[    1.936858] Interrupt Served: 	 Vector = 0x0000000F
[    1.938149] Interrupt Taken: 	 Vector = 0x0000000F
[    1.938184] Interrupt Served: 	 Vector = 0x0000000F
[    1.939791] Interrupt Taken: 	 Vector = 0x0000000F
[    1.939815] Interrupt Served: 	 Vector = 0x0000000F
[    1.941666] Interrupt Taken: 	 Vector = 0x0000000F
[    1.941715] Interrupt Served: 	 Vector = 0x0000000F
[    1.943031] Interrupt Taken: 	 Vector = 0x0000000F
[    1.943074] Interrupt Served: 	 Vector = 0x0000000F
[    1.944611] Interrupt Taken: 	 Vector = 0x0000000F
[    1.944668] Interrupt Served: 	 Vector = 0x0000000F
[    1.946059] Interrupt Taken: 	 Vector = 0x0000000F
[    1.946110] Interrupt Served: 	 Vector = 0x0000000F
[    1.947858] Interrupt Taken: 	 Vector = 0x0000000F
[    1.947885] Interrupt Served: 	 Vector = 0x0000000F
[    1.949585] Interrupt Taken: 	 Vector = 0x0000000F
[    1.949614] Interrupt Served: 	 Vector = 0x0000000F
[    1.951154] Interrupt Taken: 	 Vector = 0x0000000F
[    1.951179] Interrupt Served: 	 Vector = 0x0000000F
[    1.952815] Interrupt Taken: 	 Vector = 0x0000000F
[    1.952836] Interrupt Served: 	 Vector = 0x0000000F
[    1.954533] Interrupt Taken: 	 Vector = 0x0000000F
[    1.954574] Interrupt Served: 	 Vector = 0x0000000F
[    1.957171] Interrupt Taken: 	 Vector = 0x0000000F
