[    1.679133] [passthrough] Read: 	 address = 0x5802480C, size = 4 bytes, value = 0x00000042, pc=0x080009EA 
[    1.680479] [passthrough] Write: 	 address = 0x5802480C, size = 4 bytes, value = 0x00000042, pc=0x080009F2 
[    1.681750] [passthrough] Read: 	 address = 0x58024804, size = 4 bytes, value = 0x00006000, pc=0x080009F8 
[    1.683755] IO Read Access NOT Handled: 	 address=0xe000ed88, size=4 bytes, pc=0x080008aa
[    1.684482] IO Write Access NOT Handled: 	 address = 0xE000ED88, size = 4 bytes, value = 0x00f00000, pc=0x080008B4 
[    1.685067] [passthrough] Read: 	 address = 0x52002000, size = 4 bytes, value = 0x00000037, pc=0x080008BA 
[    1.686756] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x080008D6 
[    1.688145] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x080008DE 
[    1.689550] [passthrough] Write: 	 address = 0x58024410, size = 4 bytes, value = 0x00000000, pc=0x080008E4 
[    1.690852] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x080008E8 
[    1.692005] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x080008F0 
[    1.693016] [passthrough] Read: 	 address = 0x52002000, size = 4 bytes, value = 0x00000037, pc=0x080008F4 
[    1.695836] [passthrough] Write: 	 address = 0x58024418, size = 4 bytes, value = 0x00000000, pc=0x08000912 
[    1.698244] [passthrough] Write: 	 address = 0x5802441C, size = 4 bytes, value = 0x00000000, pc=0x08000918 
[    1.700592] [passthrough] Write: 	 address = 0x58024420, size = 4 bytes, value = 0x00000000, pc=0x0800091E 
[    1.702929] [passthrough] Write: 	 address = 0x58024428, size = 4 bytes, value = 0x02020200, pc=0x08000924 
[    1.704946] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x01ff0000, pc=0x0800092A 
[    1.706842] [passthrough] Write: 	 address = 0x58024430, size = 4 bytes, value = 0x01010280, pc=0x08000930 
[    1.708789] [passthrough] Write: 	 address = 0x58024434, size = 4 bytes, value = 0x00000000, pc=0x08000936 
[    1.710696] [passthrough] Write: 	 address = 0x58024438, size = 4 bytes, value = 0x01010280, pc=0x0800093C 
[    1.712544] [passthrough] Write: 	 address = 0x5802443C, size = 4 bytes, value = 0x00000000, pc=0x08000942 
[    1.714274] [passthrough] Write: 	 address = 0x58024440, size = 4 bytes, value = 0x01010280, pc=0x08000948 
[    1.715945] [passthrough] Write: 	 address = 0x58024444, size = 4 bytes, value = 0x00000000, pc=0x0800094E 
[    1.717206] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08000952 
[    1.718304] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x0800095A 
[    1.719562] [passthrough] Write: 	 address = 0x58024460, size = 4 bytes, value = 0x00000000, pc=0x08000960 
[    1.720647] [passthrough] Read: 	 address = 0x5C001000, size = 4 bytes, value = 0x20036450, pc=0x08000964 
[    1.721821] [passthrough] Read: 	 address = 0x580244D4, size = 4 bytes, value = 0x00000000, pc=0x08000978 
[    1.723622] [passthrough] Read: 	 address = 0x580244D4, size = 4 bytes, value = 0x00000000, pc=0x08000986 
[    1.724843] [passthrough] Write: 	 address = 0x580244D4, size = 4 bytes, value = 0x00001000, pc=0x08000990 
[    1.726096] [passthrough] Write: 	 address = 0x52004000, size = 4 bytes, value = 0x000030d2, pc=0x0800099A 
[    1.727265] [passthrough] Read: 	 address = 0x580244D4, size = 4 bytes, value = 0x00001000, pc=0x0800099E 
[    1.728135] [passthrough] Write: 	 address = 0x580244D4, size = 4 bytes, value = 0x00000000, pc=0x080009A8 
[    1.736472] IO Read Access NOT Handled: 	 address=0xe000ed0c, size=4 bytes, pc=0x08000f92
[    1.737499] IO Write Access NOT Handled: 	 address = 0xE000ED0C, size = 4 bytes, value = 0x05fa0300, pc=0x08000FB2 
[    1.739197] [passthrough] Read: 	 address = 0x58024410, size = 4 bytes, value = 0x00000000, pc=0x080022C8 
[    1.740556] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08002342 
[    1.741825] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x0800234E 
[    1.744186] [passthrough] Read: 	 address = 0x58024418, size = 4 bytes, value = 0x00000000, pc=0x08000E10 
[    1.745627] [passthrough] Read: 	 address = 0x58024418, size = 4 bytes, value = 0x00000000, pc=0x08000E28 
[    1.749276] IO Write Access NOT Handled: 	 address = 0xE000E014, size = 4 bytes, value = 0x0000f9ff, pc=0x080010F8 
[    1.749320] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000004, size = 4 bytes, value = 0x0000f9ff, pc=0x080010F8 
[    1.750697] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0xf0, pc=0x0800105E 
[    1.751687] IO Write Access NOT Handled: 	 address = 0xE000E018, size = 4 bytes, value = 0x00000000, pc=0x08001108 
[    1.751728] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000008, size = 4 bytes, value = 0x00000000, pc=0x08001108 
[    1.752407] IO Write Access NOT Handled: 	 address = 0xE000E010, size = 4 bytes, value = 0x00000007, pc=0x0800110E 
[    1.752449] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000000, size = 4 bytes, value = 0x00000007, pc=0x0800110E 
[    1.753149] Interrupt Taken: 	 Vector = 0x0000000F
[    1.754877] Interrupt Served: 	 Vector = 0x0000000F
[    1.757841] Interrupt Taken: 	 Vector = 0x0000000F
[    1.757918] Interrupt Served: 	 Vector = 0x0000000F
[    1.761514] Interrupt Taken: 	 Vector = 0x0000000F
[    1.761563] Interrupt Served: 	 Vector = 0x0000000F
[    1.765292] Interrupt Taken: 	 Vector = 0x0000000F
[    1.765393] Interrupt Served: 	 Vector = 0x0000000F
[    1.768731] Interrupt Taken: 	 Vector = 0x0000000F
[    1.768773] Interrupt Served: 	 Vector = 0x0000000F
[    1.772617] Interrupt Taken: 	 Vector = 0x0000000F
[    1.772680] Interrupt Served: 	 Vector = 0x0000000F
[    1.776678] Interrupt Taken: 	 Vector = 0x0000000F
[    1.776750] Interrupt Served: 	 Vector = 0x0000000F
[    1.780159] IO Read Access NOT Handled: 	 address=0xe000ed0c, size=4 bytes, pc=0x08000fce
[    1.780232] Interrupt Taken: 	 Vector = 0x0000000F
[    1.780280] Interrupt Served: 	 Vector = 0x0000000F
[    1.784013] Interrupt Taken: 	 Vector = 0x0000000F
[    1.784079] Interrupt Served: 	 Vector = 0x0000000F
[    1.787776] Interrupt Taken: 	 Vector = 0x0000000F
[    1.787834] Interrupt Served: 	 Vector = 0x0000000F
[    1.792072] Interrupt Taken: 	 Vector = 0x0000000F
[    1.792121] Interrupt Served: 	 Vector = 0x0000000F
[    1.795834] Interrupt Taken: 	 Vector = 0x0000000F
[    1.795898] Interrupt Served: 	 Vector = 0x0000000F
[    1.800453] Interrupt Taken: 	 Vector = 0x0000000F
[    1.800617] Interrupt Served: 	 Vector = 0x0000000F
[    1.803448] Interrupt Taken: 	 Vector = 0x0000000F
[    1.803544] Interrupt Served: 	 Vector = 0x0000000F
[    1.807238] Interrupt Taken: 	 Vector = 0x0000000F
[    1.807351] Interrupt Served: 	 Vector = 0x0000000F
[    1.810586] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0x00, pc=0x0800105E 
[    1.810704] Interrupt Taken: 	 Vector = 0x0000000F
[    1.810757] Interrupt Served: 	 Vector = 0x0000000F
[    1.814299] Interrupt Taken: 	 Vector = 0x0000000F
[    1.814399] Interrupt Served: 	 Vector = 0x0000000F
[    1.818088] Interrupt Taken: 	 Vector = 0x0000000F
[    1.818146] Interrupt Served: 	 Vector = 0x0000000F
[    1.821926] Interrupt Taken: 	 Vector = 0x0000000F
[    1.821975] Interrupt Served: 	 Vector = 0x0000000F
[    1.825387] Interrupt Taken: 	 Vector = 0x0000000F
[    1.825434] Interrupt Served: 	 Vector = 0x0000000F
[    1.828801] Interrupt Taken: 	 Vector = 0x0000000F
[    1.828844] Interrupt Served: 	 Vector = 0x0000000F
[    1.833013] Interrupt Taken: 	 Vector = 0x0000000F
[    1.833080] Interrupt Served: 	 Vector = 0x0000000F
[    1.836655] [passthrough] Read: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010000, pc=0x0800080C 
[    1.837139] Interrupt Taken: 	 Vector = 0x0000000F
[    1.837274] Interrupt Served: 	 Vector = 0x0000000F
[    1.840276] Interrupt Taken: 	 Vector = 0x0000000F
[    1.840387] Interrupt Served: 	 Vector = 0x0000000F
[    1.844537] Interrupt Taken: 	 Vector = 0x0000000F
[    1.844611] Interrupt Served: 	 Vector = 0x0000000F
[    1.848161] [passthrough] Write: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010002, pc=0x08000816 
[    1.848892] Interrupt Taken: 	 Vector = 0x0000000F
[    1.849005] Interrupt Served: 	 Vector = 0x0000000F
[    1.851930] Interrupt Taken: 	 Vector = 0x0000000F
[    1.852039] Interrupt Served: 	 Vector = 0x0000000F
[    1.856264] Interrupt Taken: 	 Vector = 0x0000000F
[    1.856363] Interrupt Served: 	 Vector = 0x0000000F
[    1.860139] [passthrough] Read: 	 address = 0x580244F4, size = 4 bytes, value = 0x00010002, pc=0x0800081C 
[    1.860582] Interrupt Taken: 	 Vector = 0x0000000F
[    1.860638] Interrupt Served: 	 Vector = 0x0000000F
[    1.864639] Interrupt Taken: 	 Vector = 0x0000000F
[    1.864710] Interrupt Served: 	 Vector = 0x0000000F
[    1.868297] Interrupt Taken: 	 Vector = 0x0000000F
[    1.868455] Interrupt Served: 	 Vector = 0x0000000F
[    1.871267] Interrupt Taken: 	 Vector = 0x0000000F
[    1.871395] Interrupt Served: 	 Vector = 0x0000000F
[    1.874755] Interrupt Taken: 	 Vector = 0x0000000F
[    1.874805] Interrupt Served: 	 Vector = 0x0000000F
[    1.877637] Interrupt Taken: 	 Vector = 0x0000000F
[    1.877694] Interrupt Served: 	 Vector = 0x0000000F
[    1.881241] Interrupt Taken: 	 Vector = 0x0000000F
[    1.881380] Interrupt Served: 	 Vector = 0x0000000F
[    1.884410] Interrupt Taken: 	 Vector = 0x0000000F
