[    1.867719] IO Read Access NOT Handled: 	 address=0xe000ed88, size=4 bytes, pc=0x08006d54
[    1.868098] IO Write Access NOT Handled: 	 address = 0xE000ED88, size = 4 bytes, value = 0x00f00000, pc=0x08006D5E 
[    1.868395] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08006D64 
[    1.869118] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08006D6A 
[    1.869948] [passthrough] Write: 	 address = 0x58024410, size = 4 bytes, value = 0x00000000, pc=0x08006D6E 
[    1.870746] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08006D70 
[    1.871341] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08006D74 
[    1.872070] [passthrough] Write: 	 address = 0x58024418, size = 4 bytes, value = 0x00000000, pc=0x08006D76 
[    1.872738] [passthrough] Write: 	 address = 0x5802441C, size = 4 bytes, value = 0x00000000, pc=0x08006D78 
[    1.873419] [passthrough] Write: 	 address = 0x58024420, size = 4 bytes, value = 0x00000000, pc=0x08006D7A 
[    1.874105] [passthrough] Write: 	 address = 0x58024428, size = 4 bytes, value = 0x00000000, pc=0x08006D7C 
[    1.874773] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x00000000, pc=0x08006D7E 
[    1.875444] [passthrough] Write: 	 address = 0x58024430, size = 4 bytes, value = 0x00000000, pc=0x08006D80 
[    1.876207] [passthrough] Write: 	 address = 0x58024434, size = 4 bytes, value = 0x00000000, pc=0x08006D82 
[    1.876883] [passthrough] Write: 	 address = 0x58024438, size = 4 bytes, value = 0x00000000, pc=0x08006D84 
[    1.877488] [passthrough] Write: 	 address = 0x5802443C, size = 4 bytes, value = 0x00000000, pc=0x08006D86 
[    1.878109] [passthrough] Write: 	 address = 0x58024440, size = 4 bytes, value = 0x00000000, pc=0x08006D88 
[    1.878816] [passthrough] Write: 	 address = 0x58024444, size = 4 bytes, value = 0x00000000, pc=0x08006D8A 
[    1.879457] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08006D8C 
[    1.879969] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00004025, pc=0x08006D92 
